epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3366,4.02652,4.96979,4.17875,0.00281,0.07801,0.00182,0.00071,4.01166,4.222,4.06986,0.000299939,0.000299939,0.000299939
2,64.6402,3.75081,4.54401,3.89331,0.50099,0.0951,0.0007,0.0002,3.72475,3.8569,4.02457,0.00059697,0.00059697,0.00059697
3,91.7471,3.34388,4.06499,3.51598,0.0011,0.19465,0.00096,0.00024,3.52869,4.0945,3.41563,0.000888002,0.000888002,0.000888002
4,119.355,3.12008,3.81082,3.23265,0.00126,0.22214,0.00138,0.00037,3.20205,3.97897,3.22554,0.000882003,0.000882003,0.000882003
5,146.786,2.99745,3.7148,3.07203,0.00136,0.23997,0.00447,0.00099,3.13816,3.93555,3.13644,0.000873004,0.000873004,0.000873004
6,175.008,2.94011,3.66611,2.99509,0.00145,0.25632,0.00264,0.00067,3.15335,3.80328,3.1068,0.000864004,0.000864004,0.000864004
7,202.654,2.89137,3.61498,2.93117,0.00154,0.27266,0.00828,0.00177,3.03729,3.67962,3.01984,0.000855005,0.000855005,0.000855005
8,229.942,2.78859,3.50524,2.85533,0.02264,0.0156,0.01105,0.00224,3.05044,3.57124,3.0704,0.000846006,0.000846006,0.000846006
9,257.171,2.72258,3.43594,2.7889,0.07433,0.04606,0.02241,0.00481,2.87949,3.58551,2.93186,0.000837007,0.000837007,0.000837007
10,284.193,2.6332,3.30753,2.71972,0.06774,0.03492,0.0182,0.00457,2.81354,3.30998,2.83332,0.000828008,0.000828008,0.000828008
11,311.527,2.57544,3.19349,2.65857,0.59613,0.0847,0.04647,0.01142,2.74399,3.20838,2.77171,0.000819009,0.000819009,0.000819009
12,338.483,2.49891,3.11437,2.59978,0.5954,0.09287,0.05223,0.01341,2.67119,2.97813,2.70952,0.00081001,0.00081001,0.00081001
13,365.091,2.44703,3.03543,2.53683,0.61148,0.09435,0.05625,0.0146,2.60498,2.96984,2.67028,0.000801011,0.000801011,0.000801011
14,391.069,2.39591,2.97972,2.49956,0.61646,0.1003,0.06112,0.01673,2.58061,3.1083,2.61958,0.000792012,0.000792012,0.000792012
15,418.151,2.3635,2.91776,2.4646,0.60175,0.10996,0.06647,0.01844,2.52602,2.94091,2.57817,0.000783013,0.000783013,0.000783013
16,445.657,2.34007,2.8624,2.43123,0.6312,0.12333,0.07083,0.021,2.48545,2.86563,2.52728,0.000774013,0.000774013,0.000774013
17,473.954,2.31353,2.87015,2.41589,0.63308,0.12234,0.07842,0.02411,2.44715,2.83815,2.52216,0.000765014,0.000765014,0.000765014
