epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2761,4.01976,4.29482,4.14302,0.00124,0.14705,0.00148,0.00042,3.93496,3.58743,3.9178,0.000550054,0.000550054,0.000550054
2,63.9996,3.65712,3.92088,3.67875,0.00095,0.15453,0.00065,0.00018,3.79692,3.7965,3.81892,0.00109477,0.00109477,0.00109477
3,90.1657,3.34416,3.72782,3.32847,0.0011,0.19391,0.00079,0.0002,3.36172,4.78614,3.26605,0.00162849,0.00162849,0.00162849
4,115.885,3.16139,3.6499,3.10471,0.00124,0.21842,0.00151,0.00038,3.34542,3.81212,3.13829,0.00161749,0.00161749,0.00161749
5,142.327,3.05984,3.58044,3.00015,0.00142,0.25037,0.00685,0.00139,3.27427,3.64543,3.12447,0.00160099,0.00160099,0.00160099
6,168.773,2.98675,3.52123,2.92526,0.00657,0.00892,0.00328,0.00079,3.22192,3.82806,3.09711,0.00158448,0.00158448,0.00158448
7,195.154,2.91438,3.42833,2.88004,0.06961,0.08172,0.02393,0.00565,3.0278,3.37495,2.95921,0.00156798,0.00156798,0.00156798
8,221.561,2.79088,3.31992,2.81878,0.07523,0.07207,0.03088,0.00682,2.92134,3.41938,2.8743,0.00155148,0.00155148,0.00155148
9,247.802,2.73728,3.24058,2.74774,0.06577,0.08172,0.0291,0.00648,2.91705,3.28847,2.84381,0.00153497,0.00153497,0.00153497
10,273.442,2.63754,3.17288,2.67181,0.56205,0.0899,0.03099,0.00754,2.76204,3.18936,2.76569,0.00151847,0.00151847,0.00151847
11,298.491,2.55552,3.10964,2.5935,0.60289,0.07295,0.05626,0.01542,2.6909,3.01343,2.6822,0.00150197,0.00150197,0.00150197
12,324.918,2.48034,3.05263,2.52524,0.57692,0.07801,0.04558,0.01085,2.72177,3.1961,2.75405,0.00148546,0.00148546,0.00148546
13,351.786,2.43742,3.01222,2.48401,0.59004,0.0899,0.05052,0.0141,2.64402,3.14732,2.65702,0.00146896,0.00146896,0.00146896
14,378.056,2.38501,2.95669,2.43784,0.59022,0.09807,0.05444,0.01552,2.58608,2.97345,2.57335,0.00145246,0.00145246,0.00145246
15,404.415,2.33862,2.90345,2.39763,0.58706,0.12407,0.05609,0.01804,2.47483,2.86353,2.49711,0.00143595,0.00143595,0.00143595
16,430.444,2.30358,2.86049,2.36396,0.63106,0.13447,0.08577,0.02931,2.47337,2.78014,2.4714,0.00141945,0.00141945,0.00141945
17,456.13,2.28149,2.83634,2.34285,0.57321,0.12259,0.05591,0.01525,2.50807,3.00162,2.51879,0.00140295,0.00140295,0.00140295
18,481.098,2.29305,2.83055,2.32774,0.62681,0.11738,0.0768,0.0237,2.39028,2.79498,2.41636,0.00138644,0.00138644,0.00138644
19,507.176,2.24432,2.77383,2.30655,0.61122,0.12853,0.08264,0.02571,2.39257,2.83853,2.42931,0.00136994,0.00136994,0.00136994
20,533.464,2.21573,2.71804,2.26265,0.6055,0.11813,0.07247,0.02123,2.40451,3.03087,2.3765,0.00135344,0.00135344,0.00135344
21,559.962,2.202,2.70353,2.26569,0.63889,0.14264,0.09945,0.03275,2.3425,2.6721,2.36009,0.00133693,0.00133693,0.00133693
