epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8049,4.05071,3.9909,4.13726,0.00143,0.22851,0.00164,0.00054,4.16129,3.53585,3.9533,0.000544553,0.000544553,0.000544553
2,95.4166,3.5858,3.44785,3.63099,0.00357,0.17455,0.0024,0.00063,4.02007,3.73319,3.85166,0.00109114,0.00109114,0.00109114
3,137.991,3.18388,3.21126,3.21785,0.00345,0.05124,0.00453,0.00106,3.8706,4.41886,4.01468,0.00162856,0.00162856,0.00162856
4,181.212,2.91925,3.0216,2.97242,0.52178,0.03675,0.00773,0.00189,3.15112,7.42889,3.02072,0.00162574,0.00162574,0.00162574
5,224.597,2.74182,2.86465,2.78187,0.54237,0.08909,0.024,0.00536,2.99254,3.68116,2.97366,0.00161199,0.00161199,0.00161199
6,268.095,2.63614,2.78287,2.68446,0.12752,0.24796,0.05773,0.01491,2.81913,4.32255,2.81084,0.00159824,0.00159824,0.00159824
7,311.216,2.56161,2.70941,2.60993,0.10139,0.19101,0.0646,0.01614,2.75581,5.63425,2.72402,0.00158448,0.00158448,0.00158448
8,353.632,2.45382,2.61232,2.52337,0.19622,0.14871,0.09535,0.03375,2.70013,3.27595,2.76719,0.00157073,0.00157073,0.00157073
9,396.403,2.38174,2.58768,2.45519,0.14395,0.21204,0.09837,0.03095,2.48875,3.70206,2.53221,0.00155698,0.00155698,0.00155698
10,438.314,2.30151,2.50182,2.41621,0.13195,0.25398,0.10837,0.04243,2.57148,3.27018,2.61278,0.00154323,0.00154323,0.00154323
11,481.804,2.23244,2.39597,2.34202,0.10873,0.28358,0.08497,0.02758,2.41486,4.14055,2.45209,0.00152947,0.00152947,0.00152947
12,524.207,2.17847,2.37619,2.28411,0.28995,0.31498,0.19689,0.08328,2.29107,2.60004,2.34956,0.00151572,0.00151572,0.00151572
13,566.779,2.13275,2.35301,2.26859,0.26787,0.35208,0.22543,0.09907,2.26522,2.47907,2.36496,0.00150197,0.00150197,0.00150197
14,609.05,2.10497,2.26536,2.20031,0.30037,0.26969,0.19299,0.08816,2.23316,2.60355,2.27035,0.00148821,0.00148821,0.00148821
15,651.234,2.0446,2.21427,2.16087,0.24729,0.36424,0.22734,0.10422,2.20767,2.27818,2.26383,0.00147446,0.00147446,0.00147446
16,695.071,2.0075,2.18039,2.12324,0.41096,0.38279,0.34291,0.16928,2.14172,2.36343,2.22756,0.00146071,0.00146071,0.00146071
17,737.643,1.99683,2.17158,2.11066,0.33403,0.34003,0.28952,0.1405,2.20286,2.454,2.22385,0.00144696,0.00144696,0.00144696
18,779.483,1.9697,2.12567,2.06305,0.45064,0.37082,0.32009,0.17136,2.17812,2.23363,2.18421,0.0014332,0.0014332,0.0014332
19,821.557,1.93753,2.0726,2.04788,0.42769,0.33713,0.3159,0.14194,2.08488,2.41801,2.15537,0.00141945,0.00141945,0.00141945
20,863.591,1.92978,2.05415,2.01743,0.48979,0.47239,0.41436,0.19348,2.12354,2.12737,2.1646,0.0014057,0.0014057,0.0014057
21,906.683,1.89342,2.03233,2.00329,0.28433,0.46387,0.33261,0.14528,2.02916,2.38442,2.08408,0.00139195,0.00139195,0.00139195
22,949.01,1.88668,1.99229,1.99245,0.25943,0.44516,0.3238,0.16199,2.05557,2.12416,2.11443,0.00137819,0.00137819,0.00137819
23,990.969,1.8357,1.96425,1.94991,0.20824,0.44455,0.21267,0.10162,2.13945,2.64114,2.18066,0.00136444,0.00136444,0.00136444
24,1033.18,1.80295,1.90792,1.92197,0.50608,0.49856,0.5107,0.2656,1.96545,1.98284,2.00014,0.00135069,0.00135069,0.00135069
25,1075.64,1.80715,1.91098,1.90733,0.56203,0.53295,0.51612,0.2828,1.91482,1.9011,1.99031,0.00133693,0.00133693,0.00133693
26,1118.69,1.79434,1.87468,1.89284,0.54233,0.52696,0.54513,0.274,1.94161,1.80365,2.0014,0.00132318,0.00132318,0.00132318
27,1160.79,1.79907,1.87038,1.89084,0.5873,0.5476,0.56815,0.31412,1.88492,1.80278,1.92833,0.00130943,0.00130943,0.00130943
28,1202.92,1.78445,1.83112,1.85908,0.50207,0.51979,0.51268,0.29581,1.89552,1.94181,1.95904,0.00129568,0.00129568,0.00129568
29,1245.03,1.75657,1.84026,1.84627,0.62408,0.53827,0.58899,0.32403,1.84756,1.8631,1.9106,0.00128192,0.00128192,0.00128192
30,1287.76,1.72699,1.80333,1.82587,0.52633,0.55918,0.5457,0.2911,1.83987,1.9146,1.89062,0.00126817,0.00126817,0.00126817
31,1330.69,1.70554,1.76682,1.79979,0.59301,0.6081,0.62743,0.35117,1.80214,1.72488,1.8469,0.00125442,0.00125442,0.00125442
32,1373.1,1.712,1.75861,1.80882,0.6447,0.59172,0.59711,0.33002,1.87076,1.86321,1.90711,0.00124066,0.00124066,0.00124066
33,1415.13,1.71026,1.76978,1.81517,0.59112,0.54642,0.60312,0.32409,1.82064,1.80669,1.85808,0.00122691,0.00122691,0.00122691
34,1457.16,1.67248,1.70577,1.77366,0.57401,0.55721,0.59179,0.32342,1.87195,1.77686,1.87126,0.00121316,0.00121316,0.00121316
35,1499.2,1.65714,1.71063,1.76723,0.58735,0.55903,0.57581,0.32081,1.89351,1.84777,1.97236,0.00119941,0.00119941,0.00119941
36,1542.35,1.68094,1.69562,1.77316,0.50785,0.57777,0.57439,0.31518,1.85501,1.81794,1.88725,0.00118565,0.00118565,0.00118565
37,1584.46,1.66855,1.69969,1.76729,0.54773,0.56595,0.57203,0.31559,1.87969,1.77961,1.89732,0.0011719,0.0011719,0.0011719
